Age,Gender,Education Level,Job Title,Years of Experience,Salary
32,0,1,Software Engineer,5,90000.0
28,1,2,Data Analyst,3,65000.0
45,0,3,Senior Manager,15,150000.0
36,1,1,Sales Associate,7,60000.0
52,0,2,Director,20,200000.0
29,0,1,Marketing Analyst,2,55000.0
42,1,2,Product Manager,12,120000.0
31,0,1,Sales Manager,4,80000.0
26,1,1,Marketing Coordinator,1,45000.0
38,0,3,Senior Scientist,10,110000.0
29,0,2,Software Developer,3,75000.0
48,1,1,HR Manager,18,140000.0
35,0,1,Financial Analyst,6,65000.0
40,1,2,Project Manager,14,130000.0
27,0,1,Customer Service Rep,2,40000.0
44,0,1,Operations Manager,16,125000.0
33,1,2,Marketing Manager,7,90000.0
39,0,3,Senior Engineer,12,115000.0
25,1,1,Data Entry Clerk,0,35000.0
51,0,1,Sales Director,22,180000.0
34,1,2,Business Analyst,5,80000.0
47,0,2,VP of Operations,19,190000.0
30,0,1,IT Support,2,50000.0
36,1,1,Recruiter,9,60000.0
41,0,2,Financial Manager,13,140000.0
28,1,1,Social Media Specialist,3,45000.0
37,1,2,Software Manager,11,110000.0
24,0,1,Junior Developer,1,40000.0
43,1,3,Senior Consultant,15,140000.0
33,0,2,Product Designer,6,90000.0
50,0,1,CEO,25,250000.0
31,1,1,Accountant,4,55000.0
29,0,2,Data Scientist,3,75000.0
39,1,1,Marketing Specialist,10,65000.0
46,0,3,Senior Manager,20,170000.0
27,0,1,Technical Writer,2,45000.0
35,1,1,HR Generalist,7,60000.0
42,0,2,Project Engineer,14,115000.0
26,1,1,Customer Success Rep,1,40000.0
49,0,1,Sales Executive,21,160000.0
34,1,2,UX Designer,5,80000.0
48,0,2,Operations Director,18,190000.0
30,0,1,Network Engineer,3,60000.0
36,1,1,Administrative Assistant,8,45000.0
41,0,2,Strategy Consultant,13,130000.0
28,1,1,Copywriter,2,40000.0
32,0,1,Account Manager,5,75000.0
45,1,2,Director of Marketing,16,180000.0
38,0,3,Senior Scientist,11,120000.0
25,0,1,Help Desk Analyst,0,35000.0
51,1,1,Customer Service Manager,22,130000.0
33,0,2,Business Intelligence Analyst,7,85000.0
40,1,1,Event Coordinator,12,60000.0
47,0,2,VP of Finance,19,200000.0
29,1,1,Graphic Designer,3,50000.0
